City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
539,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.28,PT,1710406057
540,wedi,-7.7431,110.5794,26.31,89,91,2.36,ID,1710406057
541,tourlaville,49.6383,-1.5664,11.68,87,0,7.2,FR,1710406057
542,shady side,38.8418,-76.5122,13.47,64,0,0.0,US,1710406057
543,powder springs,33.8596,-84.6838,13.05,87,0,0.0,US,1710406058
544,ola,59.5833,151.2833,-6.75,76,100,4.03,RU,1710406058
545,jalai nur,49.45,117.7,0.26,65,76,9.63,CN,1710406058
546,las vegas,36.175,-115.1372,10.88,24,100,15.2,US,1710405907
547,george town,5.4112,100.3354,33.96,55,20,4.12,MY,1710405932
548,viedma,-40.8135,-62.9967,17.85,51,23,6.11,AR,1710405762
549,mata-utu,-13.2816,-176.1745,29.84,72,75,4.15,WF,1710405940
550,shenjiamen,29.9576,122.298,10.87,76,87,2.53,CN,1710406060
551,new iberia,30.0035,-91.8187,21.14,88,100,4.63,US,1710406060
552,narvik,68.4384,17.4272,-2.33,86,100,1.25,NO,1710406060
553,boende,-0.2167,20.8667,34.13,43,2,1.31,CD,1710406060
554,oranjemund,-28.55,16.4333,20.01,55,27,5.29,NA,1710406061
555,humaita,-7.5061,-63.0208,24.35,97,67,1.08,BR,1710406061
556,ouadda,8.0777,22.4007,36.89,23,80,2.49,CF,1710406062
557,alice springs,-23.7,133.8833,36.79,13,2,1.79,AU,1710406062
558,selfoss,63.9331,-20.9971,0.02,66,100,6.17,IS,1710406062
559,igrim,63.1906,64.4162,-7.08,81,25,4.48,RU,1710406062
560,corella,42.1043,-1.7923,9.9,56,56,0.63,ES,1710406062
561,anklam,53.8564,13.6897,11.7,82,100,4.06,DE,1710406063
562,dogondoutchi,13.6393,4.0287,34.48,22,100,0.67,NE,1710406063
563,am timan,11.0297,20.2827,37.24,13,100,2.63,TD,1710406063
